商品图片_url,商品名称,商品价格,商品券后价,商品链接,销量,店铺名
https://img.pddpic.com/gaudit-image/2022-12-13/bd1f5e7dd91d853468c9a1e382711481.jpeg,【包邮】Danisa皇冠丹麦曲奇饼干368gx2盒铁罐装进口黄油下午茶零食专属,价格：79.80元,券后价：59.80元,商品链接：https://p.pinduoduo.com/DvZn9ham,销量1023,皇冠食品旗舰店
https://img.pddpic.com/gaudit-image/2022-07-01/81437140acedd6b65922be4a5049d2d7.jpeg,【包邮】她研社春眠小裤安心裤安睡裤M/L裤型卫生巾夜用超薄不侧漏,价格：59.90元,券后价：29.90元,商品链接：https://p.pinduoduo.com/21snmIVF,销量8.7万,她研社官方旗舰店
https://img.pddpic.com/gaudit-image/2022-12-19/51bf6d33c574eded36a07d9516ba4a4d.jpeg,【包邮】【全网低价】KN95口罩民用现货速发防飞沫病毒当天发货,价格：65.90元,券后价：62.90元,商品链接：https://p.pinduoduo.com/crEn4DW3,销量9216,硕锐医疗器械官方旗舰店
https://img.pddpic.com/gaudit-image/2022-11-25/a11345cabe3d040336a4bf25790d39f5.jpeg,【包邮】Uchino/内野冬天袜子加厚加绒保暖中筒袜长筒堆堆袜冬季女月子袜,价格：26.80元,券后价：16.80元,商品链接：https://p.pinduoduo.com/osunc2O3,销量1.1万,内野星闪耀专卖店
https://img.pddpic.com/gaudit-image/2022-08-16/f6aa6c7c8da9453a0d2dd4b7175f4e50.jpeg,【包邮】林家铺子罐头酸奶黄桃西米露甜品罐头312g一整箱水果罐头【10天内发货】,价格：27.90元,券后价：22.90元,商品链接：https://p.pinduoduo.com/ia8nxYHU,销量6.4万,林家铺子官方旗舰店
https://img.pddpic.com/gaudit-image/2022-09-28/180fc4d199ae414fef5a976c50726516.jpeg,【包邮】枇杷秋梨膏传统手工古法熬制浓缩养生滋补膏老少皆宜润喉清肺养生,价格：13.80元,券后价：12.80元,商品链接：https://p.pinduoduo.com/dJunraJl,销量10万+,施觅旗舰店
https://img.pddpic.com/gaudit-image/2022-12-21/39e964c39d44153133a40fe5b21081cc.jpeg,【包邮】【可防奥密克戎】鱼嘴型KN95口罩4层加厚3d立体一次性抗病毒防尘,价格：39.90元,券后价：25.90元,商品链接：https://p.pinduoduo.com/cnonrV3E,销量473,梅羿防护用品
https://img.pddpic.com/gaudit-image/2022-12-20/2f3fbc1f35ff983ad13118b643fa0aa5.jpeg,【包邮】四川新鲜黄柠檬青柠檬当季新鲜水果广安白马柠檬新鲜批发包邮【5天内发货】,价格：15.90元,券后价：12.90元,商品链接：https://p.pinduoduo.com/OoAnbvie,销量3743,岳达水果专营店
https://img.pddpic.com/gaudit-image/2022-12-20/00a9d59d4d6fce3134818d679691f2cf.jpeg,【包邮】防疫KN95成人口罩防病毒五层一次性防飞沫防尘防雾霾防护口罩批发,价格：45.80元,券后价：25.80元,商品链接：https://p.pinduoduo.com/vSqnbI6E,销量2958,鹿遥官方旗舰店
